real_word_len_list,fake_word_len_list,ai_word_len_list,real_sentence_len_list,fake_sentence_len_list,ai_sentence_len_list,real_article_len_list,fake_article_len_list,ai_article_len_list,real_no_verifiable_facts,fake_no_verifiable_facts,ai_no_verifiable_facts
1.0,3,12.0,29.0,27.0,20.0,,,,,,
4.0,5,11.0,39.0,31.0,20.0,,,,,,
6.0,1,4.0,19.0,61.0,18.0,,,,,,
2.0,9,9.0,34.0,66.0,28.0,,,,,,
2.0,1,4.0,39.0,13.0,20.0,,,,,,
10.0,3,4.0,33.0,15.0,19.0,,,,,,
4.0,3,3.0,17.0,18.0,23.0,,,,,,
3.0,6,7.0,47.0,18.0,31.0,,,,,,
10.0,2,2.0,25.0,17.0,26.0,,,,,,
2.0,7,12.0,40.0,28.0,21.0,,,,,,
4.0,1,3.0,29.0,21.0,25.0,,,,,,
9.0,6,5.0,43.0,14.0,23.0,,,,,,
1.0,10,2.0,10.0,28.0,23.0,,,,,,
7.0,1,6.0,34.0,16.0,21.0,,,,,,
7.0,3,5.0,22.0,41.0,15.0,,,,,,
4.0,5,3.0,27.0,11.0,17.0,,,,,,
4.0,8,10.0,29.0,57.0,16.0,,,,,,
3.0,12,2.0,86.0,27.0,28.0,,,,,,
2.0,11,12.0,39.0,27.0,16.0,,,,,,
3.0,2,2.0,38.0,20.0,31.0,,,,,,
2.0,7,13.0,31.0,17.0,24.0,,,,,,
6.0,2,5.0,17.0,23.0,30.0,,,,,,
2.0,4,5.0,29.0,26.0,39.0,,,,,,
4.0,4,10.0,44.0,35.0,27.0,,,,,,
2.0,8,11.0,56.0,54.0,23.0,,,,,,
4.0,3,2.0,43.0,21.0,26.0,,,,,,
2.0,7,2.0,12.0,18.0,19.0,,,,,,
5.0,2,10.0,37.0,6.0,26.0,,,,,,
3.0,3,2.0,9.0,13.0,20.0,,,,,,
1.0,8,8.0,31.0,28.0,25.0,,,,,,
14.0,2,7.0,38.0,9.0,23.0,,,,,,
6.0,2,10.0,50.0,5.0,30.0,,,,,,
3.0,3,2.0,10.0,30.0,26.0,,,,,,
3.0,5,8.0,55.0,17.0,31.0,,,,,,
1.0,4,4.0,52.0,20.0,38.0,,,,,,
1.0,1,4.0,41.0,8.0,21.0,,,,,,
3.0,1,5.0,22.0,29.0,18.0,,,,,,
8.0,2,2.0,17.0,15.0,21.0,,,,,,
3.0,1,9.0,7.0,23.0,24.0,,,,,,
10.0,9,12.0,22.0,44.0,28.0,,,,,,
7.0,2,2.0,33.0,28.0,29.0,,,,,,
8.0,5,5.0,11.0,45.0,36.0,,,,,,
1.0,7,7.0,30.0,20.0,16.0,,,,,,
1.0,8,2.0,27.0,48.0,41.0,,,,,,
1.0,4,10.0,20.0,19.0,29.0,,,,,,
1.0,1,7.0,38.0,40.0,19.0,,,,,,
7.0,2,10.0,38.0,40.0,22.0,,,,,,
8.0,1,10.0,32.0,20.0,24.0,,,,,,
1.0,7,2.0,10.0,28.0,21.0,,,,,,
5.0,2,8.0,18.0,37.0,24.0,,,,,,
4.0,3,3.0,17.0,55.0,23.0,,,,,,
3.0,1,1.0,25.0,19.0,17.0,,,,,,
9.0,8,8.0,4.0,37.0,20.0,,,,,,
7.0,5,4.0,91.0,34.0,17.0,,,,,,
